posting_id,공사명,종목,대업종,발주처,지역약칭,기초금액,추정가격,예정가격,예정가격사정률,1순위금액,1순위사정률,1순위업체,참여업체수,개찰일,검색지역,연차구분
[R25BK00587196-000],기초 A값 수의 관내 서창동2길(소2-6호선) 도로 재포장공사 (재입찰) [R25BK00587196-000],포장,지반조성.포장,경상남도 양산시 웅상출장소,양산,"35,270,000","32,063,637","35,546,125",0.78288,"31,570,408",1.00042,주식회사 성동산업,23,25/01/23 16:00,경남,1~2년전
[R25BK00589523-000],기초 관내 2025년 북부지구 마을상수도 및 소규모급수시설 유지관리 용역 소액수의 견적제출 안내공고 [R25BK00589523-000],상.하수도/청소용역,상.하수도,경상남도 함양군 상하수도사업소,함양,"43,480,000","38,981,819","43,141,475",-0.77858,"38,047,404",-0.56190,주식회사 형제,11,25/01/23 14:30,경남,1~2년전
[R25BK00589479-000],기초 관내 2025년 동부지구 마을상수도 및 소규모급수시설 유지관리 용역 소액수의 견적제출 안내공고 [R25BK00589479-000],상.하수도/청소용역,상.하수도,경상남도 함양군 상하수도사업소,함양,"44,550,000","39,954,545","44,382,975",-0.37492,"39,073,330",-0.33331,주식회사 신창,11,25/01/23 14:20,경남,1~2년전
[R25BK00589462-000],기초 관내 2025년 서부지구 마을상수도 및 소규모급수시설 유지관리 용역 소액수의 견적제출 안내공고 [R25BK00589462-000],상.하수도/청소용역,상.하수도,경상남도 함양군 상하수도사업소,함양,"46,530,000","41,754,545","46,526,125",-0.00833,"40,988,000",0.10159,금강 합자회사,11,25/01/23 14:10,경남,1~2년전
[R25BK00589069-000],기초 관내 2025년 남부지구 마을상수도 및 소규모급수시설 유지관리 용역 소액수의 견적제출 안내공고 [R25BK00589069-000],상.하수도/청소용역,상.하수도,경상남도 함양군 상하수도사업소,함양,"87,240,000","78,763,636","86,753,900",-0.55720,"76,348,805",-0.55020,주식회사 우솔건설,11,25/01/23 14:00,경남,1~2년전
[R25BK00590110-000],기초 A값 수의 협정 관내 2025년 관내 도로 유지보수(2권역)(단가계약) [R25BK00590110-000],철콘/포장,철콘/지반조성.포장,경상남도 고성군,고성,"150,000,000","136,363,636","150,876,750.01",0.58450,"133,902,000",1.02002,거산건설 주식회사,20,25/01/23 11:00,경남,1~2년전
[R25BK00590102-000],기초 A값 수의 협정 관내 2025년 관내 도로 유지보수(1권역)(단가계약) [R25BK00590102-000],철콘/포장,철콘/지반조성.포장,경상남도 고성군,고성,"150,000,000","136,363,636","150,353,625.01",0.23575,"132,938,000",0.28759,주식회사 반도건설,20,25/01/23 11:00,경남,1~2년전
[R25BK00588505-000],기초 A값 수의 관내 여항면 공설운동장 정비공사 [R25BK00588505-000],토공,지반조성.포장,경상남도 함안군,함안,"27,220,000","24,745,455","27,392,425",0.63344,"24,159,003",0.77860,주식회사 다운건설,21,25/01/23 11:00,경남,1~2년전
[R25BK00588491-000],기초 A값 수의 관내 함안스포츠타운 수박구장 정비공사 [R25BK00588491-000],토공,지반조성.포장,경상남도 함안군,함안,"34,100,000","31,000,000","33,809,250",-0.85264,"30,030,990",-0.83695,주식회사 대연건설,21,25/01/23 11:00,경남,1~2년전
[R25BK00588479-000],기초 A값 수의 관내 본동길 주변 도로포장공사 [R25BK00588479-000],포장,지반조성.포장,경상남도 함안군,함안,"45,490,000","41,354,546","45,313,200",-0.38866,"40,072,000",-0.35223,삼송건설 주식회사,23,25/01/23 11:00,경남,1~2년전
[R25BK00588194-000],기초 A값 수의 관내 여좌천로(진해골프랜드 일원)수해복구 도로재포장공사 [R25BK00588194-000],포장,지반조성.포장,경상남도 창원시 진해구,창원,"104,010,000","94,554,546","104,394,625",0.36979,"93,128,000",0.41919,대덕건설주식회사,109,25/01/23 11:00,경남,1~2년전
[R25BK00582577-000],기초 A값 순공사 화포천 습지보전관리센터 조성사업 상하수도 설치공사 [R25BK00582577-000],상.하수도,상.하수도,경상남도 김해시,경남,"442,970,000","402,700,000","443,540,350",0.12875,"393,551,960",0.13259,(주)정후토건,404,25/01/22 17:00,경남,1~2년전
[R25BK00586140-000],기초 수의 관내 진주시 어도개보수사업 토목공사 [R25BK00586140-000],철콘/토공,철콘/지반조성.포장,한국농어촌공사 경남지역본부 진주.산청지사,진주,"67,814,000","61,649,091","67,362,750",-0.66543,"59,163,999",-0.57038,주식회사 성부건설,29,25/01/22 15:00,경남,1~2년전
[R25BK00585725-000],기초 A값 순공사 상호진출 입도마을 광역상수도 인입공사 [R25BK00585725-000],상.하수도/토목/토건,상.하수도,경상남도 통영시,경남,"645,900,000","587,538,519","639,694,550",-0.96075,"566,690,000",-0.95856,주식회사 거가환경,462,25/01/22 14:00,경남,1~2년전
[E012500145],기초 A값 순공사 진해 풍호장천지구 간선설치 압입공사 [E012500145],전기/보링.그라우팅.파일,지반조성.포장,한국전력공사 경남본부,경남,"106,216,000","96,560,000",0,0,,,유찰,0,25/01/22 11:00,경남,1~2년전
[R25BK00580203-000],기초 A값 수의 관내 석정로(지중화 사업구간) 도로 재포장공사(포장) [R25BK00580203-000],포장,지반조성.포장,경상남도 밀양시,밀양,"40,970,000","37,245,455","40,813,750",-0.38138,"36,082,940",-0.38064,주식회사 오성산업,46,25/01/21 13:00,경남,1~2년전
[R25BK00574420-000],기초 A값 순공사 양산초등학교 생태교육장 및 주차장 구축 공사 [R25BK00574420-000],철콘/포장/토공/보링.그라우팅.파일,철콘/지반조성.포장,경상남도양산교육청 양산초등학교,경남,"247,040,000","224,581,819","243,778,500",-1.32024,"215,758,500",-1.31044,주식회사성주토건,325,25/01/21 11:00,경남,1~2년전
[R25BK00577524-000],기초 A값 수의 관내 2025년 상반기 하수도 준설공사 단가계약(5구역) [R25BK00577524-000],상.하수도,상.하수도,경상남도 김해시,김해,"67,360,000","61,236,364","67,058,600",-0.44745,"59,260,140",-0.31851,주식회사 에스더블유,6,25/01/20 17:00,경남,1~2년전
[R25BK00577460-000],기초 A값 수의 관내 2025년 상반기 하수도 준설공사 단가계약(4구역) [R25BK00577460-000],상.하수도,상.하수도,경상남도 김해시,김해,"67,360,000","61,236,364","66,953,675",-0.60322,"59,260,140",-0.31851,주식회사 에스더블유,6,25/01/20 17:00,경남,1~2년전
[R25BK00577413-000],기초 A값 수의 관내 2025년 상반기 하수도 준설공사 단가계약(3구역) [R25BK00577413-000],상.하수도,상.하수도,경상남도 김해시,김해,"67,360,000","61,236,364","67,104,400",-0.37946,"59,260,140",-0.31851,주식회사 에스더블유,6,25/01/20 17:00,경남,1~2년전
[R25BK00576319-000],기초 A값 수의 관내 2025년 상반기 하수도 준설공사 단가계약(2구역) [R25BK00576319-000],상.하수도,상.하수도,경상남도 김해시,김해,"67,360,000","61,236,364","67,162,350",-0.29343,"59,330,000",-0.20031,주식회사 가야환경개발,6,25/01/20 17:00,경남,1~2년전
[R25BK00576164-000],기초 A값 수의 관내 2025년 상반기 하수도 준설공사 단가계약(1구역) [R25BK00576164-000],상.하수도,상.하수도,경상남도 김해시,김해,"67,360,000","61,236,364","67,845,550",0.72082,"59,950,400",0.84935,제이아이환경,6,25/01/20 17:00,경남,1~2년전
[R25BK00580502-000],수의 관내 2025년도 화개지구 소규모수도시설 위탁관리용역 [R25BK00580502-000],상.하수도/청소용역,상.하수도,경상남도 하동군,하동,"50,474,000","45,885,455","50,280,500",-0.38337,"44,424,000",0.01548,경민건설 주식회사,6,25/01/20 11:00,경남,1~2년전
[R25BK00580474-000],수의 관내 2025년도 진교지구 소규모수도시설 위탁관리용역 [R25BK00580474-000],상.하수도/청소용역,상.하수도,경상남도 하동군,하동,"50,083,000","45,530,000","49,678,400",-0.80786,"43,763,900",-0.70143,태건건설 주식회사,6,25/01/20 11:00,경남,1~2년전
[R25BK00580458-000],수의 관내 2025년도 적량지구 소규모수도시설 위탁관리용역 [R25BK00580458-000],상.하수도/청소용역,상.하수도,경상남도 하동군,하동,"50,307,000","45,733,636","49,314,100",-1.97369,"43,959,650",-0.70140,태건건설 주식회사,6,25/01/20 11:00,경남,1~2년전
[R25BK00580442-001],정정 수의 관내 2025년도 옥종지구 소규모수도시설 위탁관리용역 [R25BK00580442-001],상.하수도/청소용역,상.하수도,경상남도 하동군,하동,"50,225,000","45,659,091","50,787,450",1.11986,"46,385,800",4.94999,주식회사 삼보개발,6,25/01/20 11:00,경남,1~2년전
[R25BK00580387-000],기초 A값 수의 관내 지방도1016호선 도로 재포장공사 [R25BK00580387-000],포장,지반조성.포장,경상남도 사천시,사천,"50,254,000","45,685,455","50,136,950",-0.23292,"44,556,000",-0.21102,호진건설주식회사,31,25/01/20 11:00,경남,1~2년전
[R25BK00572025-002],정정 기초 A값 순공사 상호진출 초계-적중간 배수관로 정비사업 [R25BK00572025-002],토목/토건/포장/토공/상.하수도/보링.그라우팅.파일,지반조성.포장/상.하수도,경상남도 합천군 안전건설국 상하수도과,경남,"660,430,000","600,390,909","653,515,350",-1.04700,"578,606,000",-1.04049,주식회사 우주,814,25/01/20 11:00,경남,1~2년전
