업종(면허),등록번호,취득일자,시공능력평가액(천원),실적평가액(천원),실적평가액_가중평균(천원),경영평가액(천원),기술능력평가액(천원),신인도평가액(천원),2022년_실적(천원),2023년_실적(천원),2024년_실적(천원)
지반조성포장(토공),경북경산2008-02-06,2008.09.17,927892,33084,47264,367792,524644,2372,0,141792,0
상하수도설비,경북상주2021-11-07,2021.04.22,1877206,984489,1406413,367792,524644,281,2294378,1561621,685096
